spot,location,spectra,mineralogy,C_concentration,O_concentration,Mg_concentration,Si_concentration,S_concentration,Mn_concentration,Co_concentration,Ni_concentration,Zn_concentration,Ag_concentration,Al_concentration,Ca_concentration,Na_concentration,K_concentration,Ti_concentration,Fe_concentration,In_concentration,W_concentration,Ir_concentration,Cr_concentration,U_concentration,Sr_concentration,La_concentration,Nd_concentration,Pr_concentration,P_concentration,N_concentration,Zr_concentration,Yb_concentration,I_concentration,Br_concentration,Ta_concentration,Cl_concentration,Te_concentration,F_concentration,Ar_concentration,C_wtper,O_wtper,Mg_wtper,Si_wtper,S_wtper,Mn_wtper,Co_wtper,Ni_wtper,Zn_wtper,Ag_wtper,Al_wtper,Ca_wtper,Na_wtper,K_wtper,Ti_wtper,Fe_wtper,In_wtper,W_wtper,Ir_wtper,Cr_wtper,U_wtper,Sr_wtper,La_wtper,Nd_wtper,Pr_wtper,P_wtper,N_wtper,Zr_wtper,Yb_wtper,I_wtper,Br_wtper,Ta_wtper,Cl_wtper,Te_wtper,F_wtper,Ar_wtper
9,21,74,mz84_seds,3.1,52.19,0.57,14.86,0,0.03,0,0,0,0,12.16,0,0.46,1.37,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.54,50.3,0.58,15.55,0,0.03,0,0,0,0,11.82,0,0.4,1.35,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,22,75,epoxy,7.45,1.56,0,0.15,0.29,0,0,0,0.01,54.32,0.36,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33,4.89,0,0.19,0.34,0,0,0,0.05,77.49,0.51,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,22,76,epoxy,3.03,1.34,0.02,0.29,0.34,0,0.01,0,0.02,56.33,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,4.71,0.03,0.4,0.42,0,0.01,0,0.07,86.5,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,22,77,epoxy,8.53,2.32,0,0.22,0.16,0,0.01,0.04,0.01,50.66,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,7.02,0.01,0.28,0.18,0,0.01,0.06,0.04,72.65,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,23,78,mz84_seds,23.04,7.88,0.09,2.39,1.2,0,0,0.02,0.02,0.06,1.1,0.34,0,0.64,0,0.26,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,68.91,20,0.11,2.89,1.54,0,0,0.04,0.05,0.11,1.34,0.43,0,0.8,0,0.42,0,0,0,0,0,0,0,0,0,0,3.36,0,0,0,0,0,0,0,0,0
9,23,79,mz84_seds,7.82,29.06,0.9,9.77,0.8,0.03,0.03,0.01,0,0.47,6.8,2.39,0.18,1.02,0.14,1.3,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,39.33,0.95,10.08,0.86,0.04,0.04,0.01,0.01,0.63,6.83,2.44,0.17,1.02,0.18,1.62,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,23,80,mz84_seds,11.96,30.67,0.64,8.48,1.48,0,0.04,0,0.02,1.2,6.05,2.01,0.24,1.08,0,1.19,0.31,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0,0,40.69,37.13,0.56,7.17,1.33,0.01,0.04,0,0.04,1.36,5.06,1.73,0.18,0.9,0,1.24,0.33,0,0,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0
9,24,81,dark_seds,15.43,19.04,0.42,7.45,2.1,0,0.01,0.02,0,0.15,3.83,1.06,0.1,0.54,0.06,0.72,0.24,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,53.86,29.52,0.4,6.96,2.1,0.01,0.01,0.03,0.01,0.19,3.55,1.03,0.08,0.51,0.08,0.86,0.29,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0
9,24,82,dark_seds,2.81,19.93,0.36,13.13,0.54,0.02,0.01,0,0.02,0,6.26,0.22,0.08,1.52,0.17,1.14,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52,37.14,0.54,19.74,0.9,0.05,0.02,0,0.06,0,8.9,0.33,0.1,2.26,0.3,2.06,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,24,83,dark_seds,20,6.25,0.04,0.33,5.75,0,0,0.02,0.02,0,0.24,0.94,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,74.39,16.25,0.04,0.38,7.07,0,0,0.03,0.05,0,0.28,1.2,0,0,0,0.15,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25,84,mz84_seds,41.8,8.76,0.12,1.92,1.29,0.05,0.01,0,0.03,0.14,1.24,0.38,0,0.23,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.97,16.79,0.11,1.69,1.2,0.06,0.01,0,0.05,0.18,1.1,0.36,0,0.21,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25,85,mz84_seds,18.16,8.19,0.12,2.14,4.64,0,0.03,0.02,0.03,0,1.58,0.69,0,0.23,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.28,19.09,0.14,2.42,5.56,0,0.05,0.03,0.07,0,1.79,0.83,0,0.27,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,25,86,mz84_seds,20.68,6.44,0.02,0.04,4.89,0,0.02,0.02,0.02,0,0.06,0.63,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.91,17.44,0.02,0.05,6.34,0,0.03,0.03,0.04,0,0.08,0.85,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,26,87,epoxy,0.29,0.17,0,0.22,0.11,0.04,0,0.01,0,15.55,0.17,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,2.19,0.01,1.13,0.48,0.22,0,0.04,0,85.63,0.97,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,26,88,epoxy,7.15,3.71,0,0.57,0.68,0,0,0.11,0,51.96,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47,10.08,0,0.67,0.73,0,0,0.13,0.01,69.85,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,26,89,epoxy,1.12,0.31,0,0.17,0.23,0,0,0,0,31.47,0.13,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,1.98,0,0.44,0.52,0.01,0.01,0,0,87.61,0.38,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,27,90,med_seds,3.34,18.39,0.17,8.79,0.75,0,0,0,0,0.31,9.02,1.93,0.09,0.4,0,0.54,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.21,36.49,0.25,13.79,1.24,0,0,0,0,0.64,12.9,2.93,0.11,0.6,0,0.98,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,27,91,med_seds,2.85,70.53,0.04,33.42,0,0.01,0.05,0.04,0.03,0,0,0,0.66,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,15.93,55.15,0.04,27.1,0,0.01,0.05,0.04,0.05,0,0,0,0.5,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0
9,27,92,med_seds,11.75,9.06,0.24,2.87,3.6,0.01,0,0,0,0.11,1.51,2.99,0.08,0.3,0,1.95,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,57.81,22.69,0.34,3.8,5,0.02,0,0,0,0.2,2.01,4.14,0.09,0.41,0,3.33,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0
9,28,93,med_seds,10.67,7.01,0.18,3.54,3.27,0,0,0.04,0.04,0.13,2.6,1.04,0,0.49,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.13,19.98,0.27,5.17,5.09,0,0,0.08,0.11,0.26,3.73,1.6,0,0.75,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,28,94,med_seds,2.76,9.66,0.41,11.98,0.69,0.02,0.05,0,0.01,0.25,6.58,0.54,0.06,0.89,0,1.05,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.38,25.18,0.7,21.44,1.37,0.04,0.1,0.01,0.03,0.61,10.84,0.98,0.08,1.58,0,2.25,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,28,95,med_seds,0.89,9.13,0.23,6.25,0.26,0.01,0.05,0,0,0.09,3.78,0.41,0.04,1.12,0.19,1.56,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.17,34.88,0.75,20.25,0.92,0.03,0.2,0,0,0.39,11.45,1.29,0.11,3.46,0.71,5.8,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,29,96,dark_seds,11.18,4.19,0.07,0.9,4.31,0.02,0,0,0,2.37,1.6,1.01,0.05,0.13,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.64,14.79,0.12,1.46,7.3,0.04,0,0,0,5.36,2.59,1.77,0.08,0.22,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,29,97,dark_seds,24.98,4.91,0.04,0.19,3.62,0,0,0,0.04,0,0.47,2.36,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.35,13.81,0.05,0.23,4.57,0,0,0,0.09,0,0.57,3.06,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,29,98,dark_seds,1.28,12.6,0.62,8.79,0.91,0,0.03,0,0,0.24,5.95,0.59,0.1,1.08,0,1.73,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.39,33.75,1.34,19.92,2.24,0,0.07,0,0,0.72,12.45,1.3,0.19,2.33,0,4.51,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,30,99,med_seds,21.01,6.08,0.07,0.55,5.41,0,0.02,0,0,0,0.35,0.74,0.07,0.09,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.29,15.67,0.09,0.63,6.58,0,0.04,0,0,0,0.41,0.93,0.07,0.11,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,30,100,med_seds,4.01,37.77,0.36,17.28,0,0.03,0.05,0.03,0.02,0,9.12,0,0.25,3.81,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,44.04,0.37,17.8,0,0.04,0.06,0.04,0.04,0,8.9,0,0.22,3.84,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,30,101,med_seds,6.91,37.76,0.53,12.1,0.82,0.01,0.02,0,0.03,0.56,10.03,0.49,0.26,0.95,0,1.08,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,42.19,0.51,11.5,0.82,0.01,0.03,0,0.06,0.7,9.06,0.45,0.21,0.87,0,1.22,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,31,102,med_seds,15.71,5.7,0.14,1.64,5.47,0.02,0.01,0.03,0,0,0.66,0.96,0,0.24,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.69,15.86,0.18,2.06,7.33,0.04,0.01,0.05,0.01,0,0.83,1.32,0,0.32,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,31,103,med_seds,13.35,2.63,0.06,0.27,5.6,0,0.02,0.01,0.01,0,0.26,1.03,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.69,10.05,0.09,0.41,9.3,0,0.04,0.01,0.04,0,0.41,1.78,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,31,104,med_seds,16.46,4.81,0.15,1.17,5.02,0.01,0,0.01,0.01,0.18,1.06,0.75,0,0.23,0.06,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.66,14.02,0.2,1.52,6.9,0.02,0,0.02,0.02,0.32,1.38,1.06,0,0.31,0.1,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,32,105,epoxy,1.03,0.48,0,0.42,0.23,0,0.01,0.02,0,16.07,0.11,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,5.27,0,1.9,0.96,0,0.04,0.1,0.01,80.9,0.57,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,32,106,epoxy,16.81,3.76,0,0.4,0.28,0,0,0,0.02,32.34,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.36,10.92,0,0.5,0.33,0,0.01,0,0.06,49.76,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,32,107,epoxy,25.2,7.18,0.07,0.97,1.77,0,0,0,0,6.95,0.39,1.33,0,0.12,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.58,18.08,0.09,1.14,2.14,0,0,0,0,11.04,0.47,1.68,0,0.14,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,33,108,dark_seds,4.66,1.39,0,0.28,0.39,0,0,0,0.01,40.22,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.57,5.84,0,0.48,0.61,0,0,0,0.05,77.56,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,33,109,dark_seds,6.83,40.1,2.2,9.08,1.53,0.03,0.11,0.02,0.01,0.34,6.91,0.23,0.23,1.52,0.18,2.99,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,30.22,43.23,2.14,8.59,1.52,0.04,0.13,0.02,0.02,0.42,6.45,0.21,0.19,1.39,0.2,3.35,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0
9,33,110,dark_seds,26.52,4.78,0.06,0.2,4.5,0.01,0.01,0.03,0,0,0.16,1.07,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.91,12.69,0.06,0.22,5.35,0.02,0.02,0.04,0,0,0.18,1.32,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
