spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,P_concentration_apparent,Ti_concentration_apparent,F_concentration_apparent,Cl_concentration_apparent,Zr_concentration_apparent,Ar_concentration_apparent,Y_concentration_apparent,Mn_concentration_apparent,Th_concentration_apparent,Zn_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,S_wtper,K_wtper,Ca_wtper,Fe_wtper,Ag_wtper,P_wtper,Ti_wtper,F_wtper,Cl_wtper,Zr_wtper,Ar_wtper,Y_wtper,Mn_wtper,Th_wtper,Zn_wtper
10,point,425,rock,0.38,5.96,0.04,0.24,3.39,4.6,0.25,0.78,0.3,0.59,0.04,0,0.06,0,0,0,0,0,0,0,0,9.08,26.51,0.15,1.28,19.45,28.86,1.74,5.18,2.06,4.87,0.32,0,0.5,0,0,0,0,0,0,0,0
10,point,426,mz84_seds,0.53,10.88,0,0.28,4.19,5.48,0.13,0.82,0.19,0.56,0,0,0.05,0,0,0,0,0,0,0,0,9.11,35.05,0,1.17,18.51,26.39,0.69,4.18,1.01,3.55,0,0,0.34,0,0,0,0,0,0,0,0
10,point,427,rock,4.88,3.97,0.03,0.08,0.67,1.01,2.65,0.13,0.52,0.86,0,0,0,0,0,0.2,0,0,0,0,0,57.14,14.08,0.07,0.29,2.68,4.18,12.28,0.6,2.47,5,0,0,0,0,0,1.2,0,0,0,0,0
10,point,428,rock,0.02,0.1,0,0.04,0.45,0.87,0.23,0.26,0.8,2.45,0,0.04,0.06,0,0,0,0,0,0,0,0,1,1.29,0,0.63,7.5,14.85,4.1,4.42,13.81,50.69,0,0.46,1.25,0,0,0,0,0,0,0,0
10,point,429,rock,0.51,2.65,0.02,0.08,1.22,2.23,0.86,0.28,0.58,0.23,0,0.14,0.03,0,0,0,0,0,0,0,0,19.82,21.3,0.14,0.75,11.5,22.43,9.81,3.11,6.51,3.17,0,1.03,0.41,0,0,0,0,0,0,0,0
10,point,430,rock,0.98,13.7,0,0.24,3.29,5.24,0.56,0.68,0.2,0.53,0,0,0.05,0,0,0,0,0,0,0,0,14.13,39.33,0,0.92,13.12,22.4,2.7,3.13,0.93,3.05,0,0,0.29,0,0,0,0,0,0,0,0
10,point,431,rock,1.9,17.92,0.05,0.19,2.83,7.53,0.35,0.53,0.22,0.4,0,0,0.21,0,0,0,0,0,0,0,0,19.78,39.86,0.1,0.54,8.65,24.42,1.28,1.88,0.79,1.78,0,0,0.93,0,0,0,0,0,0,0,0
10,point,432,rock,0.16,0.44,0,0.06,1.45,4.93,0.31,0.51,0.15,0.28,0,0,0.05,0,0,0,0,0,0,0,0,8.82,4.03,0,0.54,14.66,54.84,4.06,6.25,1.89,4.13,0,0,0.78,0,0,0,0,0,0,0,0
10,point,433,rock,2.61,2.16,0.03,0.05,0.8,0.95,1.71,0.13,0.39,0.29,0,0,0,0,0,0,0,0,0,0,0,54.49,12.88,0.12,0.34,5.3,6.64,13.29,1.01,3.09,2.85,0,0,0,0,0,0,0,0,0,0,0
10,point,434,rock,1.52,4.82,0,0.04,0.22,0.29,0.61,0.06,6.32,0.09,0.09,0,0,0,0,0,0,0,0,0,0,20.61,28.78,0,0.26,1.27,1.71,3.9,0.34,41.66,0.75,0.71,0,0,0,0,0,0,0,0,0,0
10,point,435,rock,0.09,0.64,0,0.02,1.15,1.84,0.09,0.27,0.17,0.3,0,0,0.05,0,0,0,0,0,0,0,0,8.17,10.33,0,0.42,21.55,38.29,2.02,5.94,3.74,8.17,0,0,1.37,0,0,0,0,0,0,0,0
10,point,436,rock,0.94,8.74,0.38,0.15,2.85,5.28,0.23,0.63,0.19,0.48,0,0,0.06,0,0,0,0,0,0,0,0,16.82,31.29,1.24,0.69,13.49,26.96,1.3,3.46,1.09,3.25,0,0,0.4,0,0,0,0,0,0,0,0
10,point,437,rock,0.43,5.06,0,0.18,3.08,4.75,0.16,0.65,0.3,0.57,0,0,0.04,0,0,0,0,0,0,0,0,11.23,24.16,0,1.03,18.69,31.56,1.19,4.64,2.16,5.02,0,0,0.33,0,0,0,0,0,0,0,0
10,point,438,mz84_seds,0.66,2.94,0,0.13,1.92,6.12,0.4,0.35,0.15,0.61,0,0,0.03,0,0,0,0,0,0,0,0,18.71,15.12,0,0.74,11.88,40.99,3.08,2.59,1.1,5.51,0,0,0.28,0,0,0,0,0,0,0,0
10,point,439,rock,0.21,0.71,0,0.09,1.37,2.85,0.56,0.39,0.23,1.66,0.04,0,0.04,0,0,0,0,0,0,0,0,9.88,5.85,0,0.92,14.02,30.98,6.85,4.47,2.72,23.14,0.57,0,0.58,0,0,0,0,0,0,0,0
10,point,440,rock,2.13,2.52,0.03,0.06,0.79,0.81,1.22,0.12,1.93,0.16,0,0.11,0,0,0,0,0,0,0,0,0,43.37,16.44,0.13,0.43,5.43,5.87,9.68,0.92,15.59,1.59,0,0.56,0,0,0,0,0,0,0,0,0
10,point,441,rock,0.68,10.8,0,0.4,3.54,5.29,0.2,0.72,0.25,1.03,0.04,0,0.09,0,0,0,0,0,0,0,0,11.04,34.09,0,1.65,15.38,24.74,1.02,3.59,1.28,6.37,0.26,0,0.58,0,0,0,0,0,0,0,0
10,point,442,rock,0.3,2.53,0,0.03,0.44,0.77,6.92,0.14,0.2,7.45,0,0,0,0,0,0,0,0,0,0,0,6.69,8.49,0,0.16,2.01,3.52,34.04,0.67,0.98,43.45,0,0,0,0,0,0,0,0,0,0,0
10,point,443,rock,1.14,2.61,0.03,0.07,0.79,3.3,0.9,0.21,0.64,0.2,0,0.2,0,0.05,0,0,0,0,0,0,0,32.44,16.78,0.14,0.47,5.78,25.5,7.97,1.78,5.63,2.15,0,1.19,0,0.17,0,0,0,0,0,0,0
10,point,444,rock,0.95,0.71,0.02,0.05,1.49,1.56,0.54,0.28,0.38,0.24,0.04,0,0.13,0,0,0.13,0,0,0,0,0,36.89,6.84,0.11,0.49,15.25,17.32,6.71,3.4,4.7,3.56,0.67,0,1.99,0,0,2.07,0,0,0,0,0
