spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,S_concentration_apparent,Cl_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Ti_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,Na_concentration_apparent,F_concentration_apparent,P_concentration_apparent,Zr_concentration_apparent,Ar_concentration_apparent,W_concentration_apparent,Ir_concentration_apparent,U_concentration_apparent,Mn_concentration_apparent,C_wtper,O_wtper,Mg_wtper,Al_wtper,Si_wtper,S_wtper,Cl_wtper,K_wtper,Ca_wtper,Ti_wtper,Fe_wtper,Ag_wtper,Na_wtper,F_wtper,P_wtper,Zr_wtper,Ar_wtper,W_wtper,Ir_wtper,U_wtper,Mn_wtper
9,point,26,rock,3.08,3.02,0.05,0.81,1.39,0.05,0.04,0.19,0.53,0,0.11,0.45,0,0,0,0,0,0,0,0,0,54.54,27.95,0.26,3.68,6.34,0.25,0.22,0.85,2.5,0,0.62,2.79,0,0,0,0,0,0,0,0,0
9,point,27,rock,7.24,7.05,0.08,1.69,1.95,2.36,0,0.28,0.27,0,0.15,0.05,0.05,0,0,0,0,0,0,0,0,60.05,26.81,0.15,3.1,3.59,4.69,0,0.53,0.53,0,0.34,0.13,0.08,0,0,0,0,0,0,0,0
9,point,28,rock,1.53,8.21,0.11,2.71,11.54,0.24,0,0.26,0.26,0.34,0.4,0.07,0,0,0,0,0,0,0,0,0,31.8,31.18,0.25,6,26.47,0.68,0,0.62,0.63,0.98,1.15,0.23,0,0,0,0,0,0,0,0,0
9,point,29,rock,0.88,18.34,0.31,4.83,10.97,0.12,0,1.12,0.14,0.03,0.61,0.04,0.08,0,0,0,0,0,0,0,0,16.13,45.77,0.67,9.64,23.05,0.3,0,2.32,0.28,0.07,1.49,0.13,0.15,0,0,0,0,0,0,0,0
9,point,30,rock,1.22,16.33,0.24,3.17,11.26,0.28,0,0.54,0.15,0,0.41,0.05,0.07,0,0,0,0,0,0,0,0,21.82,44.15,0.51,6.47,23.58,0.68,0,1.15,0.32,0,1.05,0.14,0.13,0,0,0,0,0,0,0,0
9,point,31,rock,4.76,11.13,0.96,3.04,4.43,0.6,0,0.63,0.82,0.1,1.4,0.13,0,0,0,0,0,0,0,0,0,43.76,33.43,1.83,5.51,8.09,1.17,0,1.12,1.49,0.22,3.07,0.32,0,0,0,0,0,0,0,0,0
9,point,32,rock,1.25,10.12,0.33,3.13,5.98,0.26,0,0.87,1.1,0.13,1.05,0.05,0,0,0.07,0,0,0,0,0,0,24.65,39.46,0.92,8.32,16.41,0.78,0,2.32,2.98,0.43,3.38,0.2,0,0,0.15,0,0,0,0,0,0
9,point,33,rock,4.76,26.72,0.45,6.42,7.48,0.5,0,1.47,0.38,0.08,0.98,0.22,0.1,0,0,0,0,0,0,0,0,32.42,44.86,0.58,7.81,9.37,0.67,0,1.78,0.47,0.12,1.45,0.36,0.11,0,0,0,0,0,0,0,0
9,point,34,mz84_seds,8.39,4.94,0.43,1.22,1.87,2.37,0,0.41,1.03,0.07,1.54,0,0.05,0,0.14,0,0,0,0,0,0,63.7,19.25,0.8,2.16,3.25,4.44,0,0.73,1.87,0.16,3.39,0,0.08,0,0.17,0,0,0,0,0,0
9,point,35,rock,2.45,1.65,0.04,0.83,0.69,2.03,0,0.07,1.18,0,0.2,0.09,0,0.05,0.4,0,0,0,0,0,0,59.81,16.51,0.17,3.38,2.83,8.96,0,0.31,5.12,0,1.05,0.53,0,0.2,1.13,0,0,0,0,0,0
9,point,36,rock,5.64,9.59,0.13,1.59,2.13,0.17,0,0.25,0.08,0,0.34,18.21,0,0,0,0,0,0,0,0,0,26.61,30.45,0.23,2.65,3.33,0.27,0,0.35,0.13,0,0.59,35.38,0,0,0,0,0,0,0,0,0
9,point,37,rock,7.48,8.39,0.18,3.61,4.96,0.75,0,1.37,0.61,0,0.65,2.15,0.06,0,0,0,0,0,0,0,0,51.29,25.53,0.28,5.4,7.54,1.24,0,2.07,0.96,0,1.2,4.41,0.08,0,0,0,0,0,0,0,0
9,point,38,rock,12.47,6.84,0.09,0.57,0.88,1.81,0,0.09,1.77,0,0.08,0.19,0.06,0,0,0,0,0,0,0,0,65.57,24.99,0.16,0.94,1.4,3.11,0,0.15,2.99,0,0.17,0.43,0.09,0,0,0,0,0,0,0,0
9,point,39,rock,2.03,11.01,0.31,3.63,5.4,0.9,0,0.73,0.42,0.05,0.6,0.11,0.06,0,0.08,0,0,0,0,0,0,32.43,38.35,0.74,8.27,12.77,2.32,0,1.7,1,0.13,1.67,0.34,0.12,0,0.14,0,0,0,0,0,0
9,point,40,rock,15.41,9.35,0.18,1.66,2.28,2.53,0,0.21,0.66,0,0.25,0.15,0.05,0.2,0,0.18,0,0,0,0,0,65.87,23.89,0.22,1.94,2.63,3.18,0,0.25,0.81,0,0.37,0.25,0.05,0.26,0,0.28,0,0,0,0,0
9,point,41,rock,7.67,2.79,0.03,0.17,0.22,3.18,0,0.03,0.49,0,0.04,0.07,0,0,0,0,0,0,0,0,0,73.47,16.19,0.06,0.39,0.5,7.75,0,0.07,1.21,0,0.13,0.22,0,0,0,0,0,0,0,0,0
9,point,42,rock,2.94,8.13,0.26,3.93,5.85,1.07,0,0.63,0.84,0.04,0.83,0.08,0.05,0.31,0.23,0,0,0,0,0,0,40.81,29.32,0.56,7.93,12.29,2.48,0,1.32,1.78,0.11,2.09,0.22,0.09,0.66,0.36,0,0,0,0,0,0
9,point,43,rock,2.5,34.18,0.11,3.62,15.6,0.25,0,0.49,0.15,0,0.25,0.41,0,0,0,0,0,0,0,0,0,22.41,51.31,0.14,4.49,19.4,0.35,0,0.62,0.19,0,0.38,0.71,0,0,0,0,0,0,0,0,0
9,point,44,rock,0.78,2.32,0.06,1.29,2.23,0.15,0,0.53,0.38,0.26,0.71,0.06,0,0.05,0,0,0,0.1,0.09,0,0,33.74,26.3,0.38,8.08,14.46,1.08,0,3.38,2.48,2.04,5.4,0.52,0,0.33,0,0,0,0.91,0.9,0,0
9,point,45,rock,9.34,13.14,0.23,1.66,2.47,1.43,0,0.28,1.29,0.05,0.92,0.07,0.06,0,0,0,0,0,0,0,0,52.47,34.62,0.36,2.45,3.59,2.21,0,0.41,1.91,0.09,1.67,0.14,0.08,0,0,0,0,0,0,0,0
9,point,46,rock,2.02,17.06,0.32,4.27,7.07,0.32,0,0.81,1.81,0.16,0.8,0.1,0.09,0.74,0.89,0,0,0,0,0,0,24.83,43.1,0.62,7.72,13.1,0.64,0,1.46,3.31,0.35,1.74,0.25,0.15,1.52,1.21,0,0,0,0,0,0
9,point,47,rock,0.94,13.09,0.17,4.26,10.18,0.06,0,0.4,0,0.03,0.26,0.44,1.93,0,0,0,0,0,0,0,0,19.84,39.15,0.41,9.54,24.01,0.16,0,0.93,0,0.1,0.71,1.4,3.75,0,0,0,0,0,0,0,0
9,point,48,rock,2.4,17.38,0.4,5.93,8.04,0.37,0,1.69,0.45,0.06,0.86,0,0.07,0,0.16,0,0,0,0,0,0,27.96,41.15,0.71,9.76,13.93,0.71,0,2.84,0.76,0.13,1.73,0,0.11,0,0.2,0,0,0,0,0,0
9,point,49,rock,8.47,20.81,0.21,3.43,7.7,1.24,0,0.42,0.4,0.07,0.65,0.17,0.05,0,0,0,0,0,0,0,0,45.74,37.92,0.25,3.81,8.54,1.51,0,0.47,0.46,0.09,0.89,0.26,0.06,0,0,0,0,0,0,0,0
9,point,50,rock,2.64,27.39,0.42,5.85,8.06,0.55,0.05,0.84,0.83,0.06,0.91,0.07,0.07,0,0,0,0,0,0,0,0,24.56,49.11,0.65,8.43,11.97,0.88,0.08,1.21,1.21,0.11,1.58,0.14,0.1,0,0,0,0,0,0,0,0
9,point,51,rock,2.6,15.81,0.28,4.88,6.86,0.33,0,1.28,0.19,0.08,0.54,2.58,0.13,0,0,0,0,0,0,0,0,27.34,40.82,0.51,8.43,12.23,0.63,0,2.19,0.33,0.17,1.12,6.01,0.21,0,0,0,0,0,0,0,0
9,point,52,rock,3.43,20.79,0.3,4.51,7.68,0.43,0,0.88,1.3,0.03,0.68,0.07,0.21,0.42,0.52,0,0,0,0,0,0,30.78,43.54,0.48,6.67,11.57,0.72,0,1.3,1.95,0.05,1.22,0.14,0.29,0.72,0.57,0,0,0,0,0,0
9,point,53,rock,4.1,17.49,0.49,4.43,5.82,0.7,0,0.67,0.43,0,1.44,0.31,0.07,0,0,0.5,0,0,0,0,0,35.98,39.86,0.8,6.83,9.15,1.2,0,1.02,0.67,0,2.68,0.64,0.11,0,0,1.07,0,0,0,0,0
9,point,54,rock,0.88,0.66,0.04,1.06,15.61,0.46,0,0.09,0.16,0.04,0.16,0.08,0,0,0,0,0,0,0,0,0,39.95,4.87,0.1,3.07,47.86,1.98,0,0.32,0.57,0.17,0.67,0.42,0,0,0,0,0,0,0,0,0
9,point,55,rock,8.12,2.28,0,0.28,0.38,0.18,0,0,0.13,0,0,20.45,0,0.16,0,0,0,0,0,0,0,35.9,11.89,0,0.59,0.76,0.36,0,0,0.28,0,0,49.83,0,0.4,0,0,0,0,0,0,0
9,point,56,rock,1.01,4.29,0.17,2.15,3.43,0.4,0,0.87,0.43,0,0.71,0.18,0,0,0.08,0,0,0,0,0,0,31.91,30.71,0.75,9.02,15.05,1.95,0,3.76,1.88,0,3.66,1.06,0,0,0.25,0,0,0,0,0,0
9,point,57,rock,2.87,23.44,0.25,2.25,8.89,4.56,0,0.43,0.33,0,5.23,0.28,0,0,0,0,0,0,0,0,0,27.84,41.02,0.37,3.02,11.6,6.5,0,0.56,0.43,0,8.15,0.5,0,0,0,0,0,0,0,0,0
9,point,58,rock,1.76,12.97,0.3,5.01,7.11,0.41,0,1.09,0.2,0.07,0.67,0.14,0.07,0,0,0,0,0,0,0,0,27.84,39.31,0.65,10.38,15.62,0.99,0,2.33,0.44,0.17,1.73,0.4,0.14,0,0,0,0,0,0,0,0
