spot,location,spectra,mineralogy,C_concentration_apparent,O_concentration_apparent,Na_concentration_apparent,Mg_concentration_apparent,Al_concentration_apparent,Si_concentration_apparent,P_concentration_apparent,S_concentration_apparent,K_concentration_apparent,Ca_concentration_apparent,Ti_concentration_apparent,Fe_concentration_apparent,Ag_concentration_apparent,Zr_concentration_apparent,W_concentration_apparent,Mo_concentration_apparent,Mn_concentration_apparent,Ar_concentration_apparent,Ba_concentration_apparent,Cl_concentration_apparent,U_concentration_apparent,F_concentration_apparent,Total:_concentration_apparent,C_wtper,O_wtper,Na_wtper,Mg_wtper,Al_wtper,Si_wtper,P_wtper,S_wtper,K_wtper,Ca_wtper,Ti_wtper,Fe_wtper,Ag_wtper,Zr_wtper,W_wtper,Mo_wtper,Mn_wtper,Ar_wtper,Ba_wtper,Cl_wtper,U_wtper,F_wtper,Total:_wtper
15,point,128,rock,0.59,4.2,0.04,0.23,4,5.83,0.08,1.32,0.95,0.67,0.08,0.98,0.06,0,0,0,0,0,0,0,0,0,0,22.71,25.06,0.12,0.82,13.44,21.45,0.23,5.49,3.46,2.46,0.36,4.13,0.29,0,0,0,0,0,0,0,0,0,0
15,point,129,rock,0.58,29.68,0,0,0,29.13,0,0.05,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,9.74,49.6,0,0,0,40.46,0,0.08,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0
15,point,130,rock,3.89,11.47,0.06,0.37,6.14,8.84,0,1.08,1.38,0.49,0.09,1.13,0.06,0,0,0,0,0,0,0,0,0,0,40.08,29.65,0.08,0.57,8.96,13.58,0,1.83,2.11,0.77,0.16,2.08,0.13,0,0,0,0,0,0,0,0,0,0
15,point,131,rock,0.92,7.32,0.03,0.13,3.86,5.11,0,0.56,1.39,0.64,0.08,1.59,0,0,0,0,0,0,0,0,0,0,0,23.31,33.78,0.09,0.4,11.64,16.42,0,1.97,4.28,2,0.29,5.81,0,0,0,0,0,0,0,0,0,0,0
15,point,132,rock,13.41,9.25,0.09,0.17,1.93,2.55,0.55,2.84,0.32,1.19,0,0.44,0.09,0,0,0,0,0,0,0,0,0,0,63.72,23.92,0.09,0.22,2.29,3,0.45,3.62,0.39,1.48,0,0.67,0.15,0,0,0,0,0,0,0,0,0,0
15,point,133,rock,9.9,26.89,0.15,0.46,6.46,9.38,0,1.54,1.08,0.58,0.06,0.83,0.1,0,0,0,0,0,0,0,0,0,0,43.81,37.8,0.12,0.43,5.59,8.24,0,1.47,0.95,0.52,0.06,0.89,0.12,0,0,0,0,0,0,0,0,0,0
15,point,134,rock,3.56,26.38,0.09,0.33,5.93,16.59,0,0.49,1.14,0.4,0.07,0.91,0.17,0,0,0,0,0,0,0,0,0,0,29.07,41.43,0.09,0.38,6.48,18.6,0,0.62,1.28,0.45,0.1,1.23,0.26,0,0,0,0,0,0,0,0,0,0
15,point,135,rock,0.6,33.45,0.12,0,7.09,19.43,0,0.03,6.83,0,0,0.08,0,0,0,0,0,0,0.59,0,0,0,0,6.65,50.28,0.13,0,8.63,24.58,0,0.05,8.55,0,0,0.11,0,0,0,0,0,0,1,0,0,0,0
15,point,136,rock,15.54,8.03,0.05,0.09,0.61,0.7,0,1.77,0.13,8.97,0,0.17,0.1,0,0,0,0,0,0,0,0,0,0,58.9,24.75,0.06,0.13,0.78,0.87,0,2.32,0.16,11.59,0,0.28,0.17,0,0,0,0,0,0,0,0,0,0
15,point,137,rock,1.34,4.95,0.02,0.19,3.94,6.55,0.44,0.33,1.1,1.67,0.1,1.11,0.04,0,0,0,0,0,0,0.04,0,0,0,31.03,25,0.06,0.53,10.52,18.66,0.97,1.06,3.08,4.75,0.34,3.72,0.15,0,0,0,0,0,0,0.12,0,0,0
